195910.svs-lmdb, 312
EX_S03_P000548_C0001_B101.mrxs-lmdb, 342
EX_S03_P000904_C0001_B701.mrxs-lmdb, 128
257001.svs-lmdb, 2314
261180.svs-lmdb, 693
EX_S03_P000115_C0001_B103.mrxs-lmdb, 569
EX_S03_P002563_C0001_B301_V01.mrxs-lmdb, 485
EX_S03_P000057_C0001_B101.mrxs-lmdb, 113
EX_S03_P000599_C0001_B101.mrxs-lmdb, 5509
EX_S03_P000444_C0001_B103.mrxs-lmdb, 421
EX_S03_P000556_C0001_B203.mrxs-lmdb, 188
EX_S03_P000581_C0001_B103.mrxs-lmdb, 360
EX_S03_P000132_C0001_B103.mrxs-lmdb, 180
EX_S03_P000499_C0001_B101.mrxs-lmdb, 61
264584.svs-lmdb, 150
EX_S03_P000185_C0001_B201.mrxs-lmdb, 159
EX_S03_P000575_C0001_B201.mrxs-lmdb, 772
000033492300486178.mrxs-lmdb, 484
EX_S03_P000583_C0001_B203.mrxs-lmdb, 158
EX_S03_P000242_C0001_B301.mrxs-lmdb, 398
000036109000745138.svs-lmdb, 323
EX_S03_P002208_C0001_B401.mrxs-lmdb, 355
EX_S03_P001556_C0001_B101.mrxs-lmdb, 606
138421.svs-lmdb, 106
344545.svs-lmdb, 63
000036262000763641.svs-lmdb, 2810
EX_S03_P000153_C0001_B103.mrxs-lmdb, 276
348033.svs-lmdb, 120
169563.svs-lmdb, 90
000033392900478123.mrxs-lmdb, 2519
EX_S03_P000691_C0001_B203.mrxs-lmdb, 166
EX_S03_P000149_C0001_B203.mrxs-lmdb, 283
149482.svs-lmdb, 52
EX_S03_P002388_C0001_B601_V01.mrxs-lmdb, 476
000036199800754397.mrxs-lmdb, 898
EX_S03_P001286_C0001_B601.mrxs-lmdb, 788
321261.svs-lmdb, 292
19-3437.svs-lmdb, 345
277016.svs-lmdb, 103
EX_S03_P000510_C0001_B301.mrxs-lmdb, 224
EX_S03_P000667_C0001_B101.mrxs-lmdb, 94
000036148700749198.svs-lmdb, 718
EX_S03_P002952_C0001_B201.mrxs-lmdb, 350
291179.svs-lmdb, 52
EX_S03_P000005_C0001_B103.mrxs-lmdb, 896
EX_S03_P002513_C0001_B201.mrxs-lmdb, 983
000033823300514831.mrxs-lmdb, 229
EX_S03_P000515_C0001_B301.mrxs-lmdb, 247
EX_S03_P000540_C0001_B103.mrxs-lmdb, 307
149480.svs-lmdb, 46
EX_S03_P002071_C0001_B301.mrxs-lmdb, 73
EX_S03_P000369_C0001_B103.mrxs-lmdb, 130
EX_S03_P000869_C0001_B501.mrxs-lmdb, 1870
265575.svs-lmdb, 46
215681.svs-lmdb, 290
000035801300705456.mrxs-lmdb, 711
000036822200793244.mrxs-lmdb, 1497
EX_S03_P003072_C0001_B101.mrxs-lmdb, 249
EX_S03_P002810_C0001_B101.mrxs-lmdb, 288
000036390900769611.mrxs-lmdb, 548
245819.svs-lmdb, 228
EX_S03_P000542_C0001_B103.mrxs-lmdb, 69
EX_S03_P000269_C0001_B103.mrxs-lmdb, 224
EX_S03_P002413_C0001_B101.mrxs-lmdb, 103
EX_S03_P001332_C0001_B101.mrxs-lmdb, 246
345568.svs-lmdb, 1583
228142.svs-lmdb, 88
EX_S03_P000810_C0001_B101.mrxs-lmdb, 1385
EX_S03_P000506_C0001_B101.mrxs-lmdb, 330
EX_S03_P000665_C0001_B101.mrxs-lmdb, 242
345590.svs-lmdb, 338
256155.svs-lmdb, 16
EX_S03_P002696_C0001_B101.mrxs-lmdb, 208
000041807200907242.mrxs-lmdb, 782
EX_S03_P000191_C0001_B103.mrxs-lmdb, 523
EX_S03_P000320_C0001_B301.mrxs-lmdb, 185
000041034800887355.mrxs-lmdb, 1502
EX_S03_P000563_C0001_B603.mrxs-lmdb, 203
000039708400856631.mrxs-lmdb, 1810
231794.svs-lmdb, 702
EX_S03_P000690_C0001_B103.mrxs-lmdb, 121
EX_S03_P000242_C0001_B303.mrxs-lmdb, 62
EX_S03_P001795_C0001_B402_V02.mrxs-lmdb, 1410
EX_S03_P000552_C0001_B303.mrxs-lmdb, 218
EX_S03_P000933_C0001_B501_V02.mrxs-lmdb, 591
EX_S03_P000061_C0001_B103.mrxs-lmdb, 160
000044071700955490.mrxs-lmdb, 1838
EX_S03_P000057_C0001_B103.mrxs-lmdb, 175
EX_S03_P000723_C0001_B203.mrxs-lmdb, 278
000044386900964699.mrxs-lmdb, 614
EX_S03_P000622_C0001_B103.mrxs-lmdb, 159
EX_S03_P000273_C0001_B201.mrxs-lmdb, 591
EX_S03_P000215_C0001_B103.mrxs-lmdb, 936
EX_S03_P000500_C0001.mrxs-lmdb, 61
EX_S03_P002344_C0001_B201_V01.mrxs-lmdb, 2364
EX_S03_P000088_C0001_B203.mrxs-lmdb, 408
218721.svs-lmdb, 233
195880.svs-lmdb, 802
291180.svs-lmdb, 4414
146637.svs-lmdb, 541
293087.svs-lmdb, 646
000033632000499662.mrxs-lmdb, 1779
EX_S03_P001909_C0001_B101.mrxs-lmdb, 289
EX_S03_P000660_C0001_B101.mrxs-lmdb, 78
344427.svs-lmdb, 606
276363.svs-lmdb, 352
EX_S03_P000334_C0001_B304.mrxs-lmdb, 494
000044427300967202.mrxs-lmdb, 986
000036005700733659.svs-lmdb, 319
237552.svs-lmdb, 134
EX_S03_P000549_C0001_B101.mrxs-lmdb, 183
EX_S03_P000198_C0001_B201.mrxs-lmdb, 359
355147.svs-lmdb, 430
EX_S03_P000134_C0001_B101.mrxs-lmdb, 285
19-2643.svs-lmdb, 172
EX_S03_P002486_C0001_B201.mrxs-lmdb, 316
EX_S03_P000269_C0001_B401.mrxs-lmdb, 4
EX_S03_P002812_C0001_B101.mrxs-lmdb, 226
207547.svs-lmdb, 124
EX_S03_P000422_C0001_B101.mrxs-lmdb, 858
000034296300561709.mrxs-lmdb, 287
000039426900850278.mrxs-lmdb, 1372
EX_S03_P002952_C0001_B501_V01.mrxs-lmdb, 1121
355086.svs-lmdb, 10
EX_S03_P000101_C0001_B103.mrxs-lmdb, 87
EX_S03_P003056_C0001_B101.mrxs-lmdb, 424
EX_S03_P000664_C0001_B101.mrxs-lmdb, 253
210251.svs-lmdb, 2738
EX_S03_P000642_C0001_B103.mrxs-lmdb, 234
EX_S03_P000886_C0001_B101.mrxs-lmdb, 77
250899.svs-lmdb, 297
EX_S03_P001344_C0001_B201_V01.mrxs-lmdb, 2726
000036536900778390.mrxs-lmdb, 822
165608.svs-lmdb, 306
246180.svs-lmdb, 160
EX_S03_P000595_C0001_B101.mrxs-lmdb, 28
345576.svs-lmdb, 134
EX_S03_P002990_C0001_B301_V01.mrxs-lmdb, 1247
EX_S03_P000449_C0001_B101.mrxs-lmdb, 280
EX_S03_P000723_C0001_B202.mrxs-lmdb, 1387
EX_S03_P000151_C0001_B103.mrxs-lmdb, 330
EX_S03_P000323_C0001_B103.mrxs-lmdb, 1616
EX_S03_P002822_C0001_B501.mrxs-lmdb, 630
000043457400939625.mrxs-lmdb, 3604
000033609200496758.mrxs-lmdb, 380
EX_S03_P000289_C0001_B201.mrxs-lmdb, 330
000035747800700669.mrxs-lmdb, 733
000033492600486188.mrxs-lmdb, 435
EX_S03_P002063_C0001_B101.mrxs-lmdb, 144
EX_S03_P000167_C0001_B401.mrxs-lmdb, 256
EX_S03_P000436_C0001_B203.mrxs-lmdb, 143
257966.svs-lmdb, 530
230290.svs-lmdb, 1076
EX_S03_P000695_C0001_B103.mrxs-lmdb, 938
EX_S03_P001093_C0001_B201.mrxs-lmdb, 275
000036226800759469.svs-lmdb, 356
000036229500758931.mrxs-lmdb, 2044
000034054800539200.mrxs-lmdb, 269
EX_S03_P000441_C0001_B101.mrxs-lmdb, 117
000036610700781986.mrxs-lmdb, 676
EX_S03_P000510_C0001_B201.mrxs-lmdb, 701
225335.svs-lmdb, 84
114076.svs-lmdb, 446
000036226800759471.svs-lmdb, 348
EX_S03_P000674_C0001_B103.mrxs-lmdb, 524
EX_S03_P000494_C0001_B103.mrxs-lmdb, 144
EX_S03_P000379_C0001_B203.mrxs-lmdb, 190
EX_S03_P002960_C0001_B301.mrxs-lmdb, 157
EX_S03_P000290_C0001_B102.mrxs-lmdb, 926
140974.svs-lmdb, 420
000035992000735122.mrxs-lmdb, 4530
000033438600482349.mrxs-lmdb, 214
000035958500728916.svs-lmdb, 189
EX_S03_P000656_C0001_B103.mrxs-lmdb, 321
19-3574b.svs-lmdb, 795
EX_S03_P000144_C0001_B103.mrxs-lmdb, 195
258160.svs-lmdb, 241
187628.svs-lmdb, 483
EX_S03_P000152_C0001_B101.mrxs-lmdb, 204
EX_S03_P000257_C0001_B103.mrxs-lmdb, 29
EX_S03_P002570_C0001_B101_V02.mrxs-lmdb, 439
134424.svs-lmdb, 51
EX_S03_P000553_C0001_B304.mrxs-lmdb, 237
219132.svs-lmdb, 1024
203414.svs-lmdb, 164
000036373200769252.svs-lmdb, 3322
EX_S03_P000386_C0001_B203.mrxs-lmdb, 873
000036594600780912.mrxs-lmdb, 1019
000040643300881374.mrxs-lmdb, 2177
321940.svs-lmdb, 427
EX_S03_P000438_C0001_B103.mrxs-lmdb, 124
273865.svs-lmdb, 78
333957.svs-lmdb, 69
EX_S03_P000717_C0001_B201.mrxs-lmdb, 202
EX_S03_P000464_C0001_B201.mrxs-lmdb, 229
000036324800766212.mrxs-lmdb, 261
EX_S03_P001548_C0001_B101.mrxs-lmdb, 107
EX_S03_P000436_C0001_B101.mrxs-lmdb, 282
000039662900856684.mrxs-lmdb, 2089
150400.svs-lmdb, 646
EX_S03_P000355_C0001_B101.mrxs-lmdb, 39
EX_S03_P000586_C0001_B103.mrxs-lmdb, 175
307891.svs-lmdb, 354
000035992000732516.mrxs-lmdb, 812
000200894802002263.mrxs-lmdb, 2871
000035935400726609.mrxs-lmdb, 602
EX_S03_P000214_C0001_B201.mrxs-lmdb, 500
EX_S03_P000617_C0001_B101.mrxs-lmdb, 148
176459.svs-lmdb, 401
EX_S03_P000546_C0001_B203.mrxs-lmdb, 278
293843.svs-lmdb, 2192
000036074800742669.mrxs-lmdb, 901
000036502500776450.mrxs-lmdb, 1571
257057.svs-lmdb, 1672
000036057900739687.svs-lmdb, 176
EX_S03_P000314_C0001_B101.mrxs-lmdb, 327
290623.svs-lmdb, 599
205662.svs-lmdb, 54
EX_S03_P000655_C0001_B103.mrxs-lmdb, 57
EX_S03_P001791_C0001_B102_V02.mrxs-lmdb, 225
EX_S03_P001559_C0001_B601.mrxs-lmdb, 342
EX_S03_P000491_C0001_B101.mrxs-lmdb, 205
195910.svs-lmdb, 312
EX_S03_P000548_C0001_B101.mrxs-lmdb, 342
EX_S03_P000904_C0001_B701.mrxs-lmdb, 128
257001.svs-lmdb, 2314
261180.svs-lmdb, 693
EX_S03_P000115_C0001_B103.mrxs-lmdb, 569
EX_S03_P002563_C0001_B301_V01.mrxs-lmdb, 485
EX_S03_P000057_C0001_B101.mrxs-lmdb, 113
EX_S03_P000599_C0001_B101.mrxs-lmdb, 5509
EX_S03_P000444_C0001_B103.mrxs-lmdb, 421
EX_S03_P000556_C0001_B203.mrxs-lmdb, 188
EX_S03_P000581_C0001_B103.mrxs-lmdb, 360
EX_S03_P000132_C0001_B103.mrxs-lmdb, 180
EX_S03_P000499_C0001_B101.mrxs-lmdb, 61
264584.svs-lmdb, 150
EX_S03_P000185_C0001_B201.mrxs-lmdb, 159
EX_S03_P000575_C0001_B201.mrxs-lmdb, 772
000033492300486178.mrxs-lmdb, 484
EX_S03_P000583_C0001_B203.mrxs-lmdb, 158
EX_S03_P000242_C0001_B301.mrxs-lmdb, 398
000036109000745138.svs-lmdb, 323
EX_S03_P002208_C0001_B401.mrxs-lmdb, 355
EX_S03_P001556_C0001_B101.mrxs-lmdb, 606
138421.svs-lmdb, 106
344545.svs-lmdb, 63
000036262000763641.svs-lmdb, 2810
EX_S03_P000153_C0001_B103.mrxs-lmdb, 276
348033.svs-lmdb, 120
169563.svs-lmdb, 90
000033392900478123.mrxs-lmdb, 2519
EX_S03_P000691_C0001_B203.mrxs-lmdb, 166
EX_S03_P000149_C0001_B203.mrxs-lmdb, 283
149482.svs-lmdb, 52
EX_S03_P002388_C0001_B601_V01.mrxs-lmdb, 476
000036199800754397.mrxs-lmdb, 898
EX_S03_P001286_C0001_B601.mrxs-lmdb, 788
321261.svs-lmdb, 292
19-3437.svs-lmdb, 345
277016.svs-lmdb, 103
EX_S03_P000510_C0001_B301.mrxs-lmdb, 224
EX_S03_P000667_C0001_B101.mrxs-lmdb, 94
000036148700749198.svs-lmdb, 718
EX_S03_P002952_C0001_B201.mrxs-lmdb, 350
291179.svs-lmdb, 52
EX_S03_P000005_C0001_B103.mrxs-lmdb, 896
EX_S03_P002513_C0001_B201.mrxs-lmdb, 983
000033823300514831.mrxs-lmdb, 229
EX_S03_P000515_C0001_B301.mrxs-lmdb, 247
